ML_ID	Volume	Estimateddensity	Minimal	Maximal	Positivesurfacearea	Negativesurfacearea	Overallaveragevalue	Positiveaveragevalue	Negativeaveragevalue	Overallvariance	Positivevariance	Negativevariance	Balanceofcharges	Product	Molecularpolarityindex	Nonpolarsurfacearea	Polarsurfacearea	Label
Q0002	5521.17022	1.3269	-54.30012	65.48335	1332.68898	1185.42457	0.00146611	0.02255063	-0.02223772	0.00073954	0.00035495	0.00038459	0.24959854	0.00018459	0.60962537	322.85	382.29	1.0
Q0006	3480.2431	1.4506	-64.03725	26.40213	731.86647	909.8916	-0.00760929	0.01629996	-0.02684058	0.00057541	9.989e-05	0.00047552	0.14345814	8.255e-05	0.60250789	190.01	269.73	1.0
Q0007	2186.49426	1.631	-69.94584	82.15146	613.73595	501.42845	0.00242434	0.03103236	-0.03259118	0.00153494	0.00066846	0.00086648	0.24583942	0.00037735	0.86350643	116.4	195.87	0.0
Q0009	2661.28609	1.4584	-58.50834	25.26901	607.38618	669.76173	-0.00402534	0.01911466	-0.0250103	0.00054658	0.00010415	0.00044243	0.15423693	8.43e-05	0.60426829	136.49	221.15	1.0
Q0010	3734.89382	1.4147	-68.04565	49.14662	847.90393	863.50309	-0.00295891	0.0214579	-0.02693463	0.00076077	0.00016739	0.00059339	0.17161245	0.00013056	0.65909308	185.09	294.15	1.0
Q0011	3650.2375	1.38	-62.79014	34.01502	1048.33742	660.51894	-0.00031963	0.01606705	-0.02632761	0.00073208	0.00010958	0.00062251	0.12727582	9.318e-05	0.54512656	239.41	239.12	1.0
Q0014	2957.11877	1.5288	-51.94139	50.34342	948.41323	455.55736	0.00908215	0.03212417	-0.03888843	0.00100034	0.00034903	0.00065131	0.22717227	0.00022725	0.93386807	99.7	293.46	1.0
Q0017	3266.00662	1.7542	-78.51098	49.49523	923.76885	677.74399	0.0025718	0.02619854	-0.02963158	0.00124738	0.00031789	0.00092949	0.18990029	0.00023688	0.75243195	180.78	267.69	1.0
Q0021	2547.83297	1.4709	-58.8383	24.45489	678.42089	573.53337	-0.00120856	0.01729836	-0.02310001	0.00055118	9.581e-05	0.00045538	0.1436057	7.915e-05	0.54303468	163.46	187.13	0.0
Q0022	3352.25994	1.5407	-47.04135	73.59614	934.75453	691.8065	0.0058099	0.02856454	-0.0249357	0.00092	0.00050583	0.00041417	0.24751834	0.00022772	0.73528221	178.72	276.77	1.0
Q0025	2930.1297	1.5239	-75.5876	85.42951	933.20266	474.76332	0.00234598	0.02857489	-0.04920999	0.00143073	0.00050822	0.00092252	0.2290368	0.00032769	0.9669022	109.66	284.61	0.0
