ML_ID	Volume	Estimateddensity	Minimal	Maximal	Positivesurfacearea	Negativesurfacearea	Overallaveragevalue	Positiveaveragevalue	Negativeaveragevalue	Overallvariance	Positivevariance	Negativevariance	Balanceofcharges	Product	Molecularpolarityindex	Nonpolarsurfacearea	Polarsurfacearea	Label
P0001	2356.99635	1.8126	-33.16125	63.05973	599.27989	538.73301	0.00292968	0.02022189	-0.01630596	0.00043033	0.00027523	0.0001551	0.23051607	9.92e-05	0.49982133	165.36	153.31	0.0
P0003	2124.79216	1.8153	-47.67565	79.4768	559.41249	490.02149	0.00369018	0.0296219	-0.02591369	0.00127101	0.00075485	0.00051616	0.24118268	0.00030654	0.75893606	128.29	165.58	0.0
P0004	2195.17347	1.6757	-49.20335	70.42172	501.00949	576.58121	0.00122257	0.02126356	-0.01619168	0.00079712	0.00050736	0.00028976	0.23137054	0.00018443	0.50476504	183.44	118.32	0.0
P0005	2865.81797	1.679	-41.37738	64.32023	667.04989	722.94724	0.00017808	0.02331278	-0.02116787	0.00046467	0.00029452	0.00017015	0.23209111	0.00010785	0.60401646	145.49	243.75	1.0
P0006	2309.73326	1.9126	-51.59016	59.82783	630.50122	483.61282	0.00588404	0.03192694	-0.02806892	0.00078518	0.00033071	0.00045447	0.24378927	0.00019142	0.82320576	93.22	218.77	0.0
P0007	2688.2629	1.702	-51.34195	86.03366	598.37072	777.22065	0.00245472	0.03466678	-0.02234487	0.00110338	0.00080926	0.00029413	0.19550968	0.00021572	0.75388587	151.65	233.55	1.0
P0008	3067.62391	1.6524	-53.15177	84.7789	702.10337	860.97596	0.00133773	0.03261604	-0.02416891	0.00101169	0.00069672	0.00031497	0.21440526	0.00021691	0.76091704	160.89	276.82	1.0
P0009	2291.60679	1.8105	-39.86138	64.58239	642.21655	526.29156	0.00799116	0.03134833	-0.02051083	0.00066661	0.00040228	0.00026433	0.23929263	0.00015951	0.72020807	113.02	214.2	0.0
P0012	2272.78736	1.8008	-40.3511	73.72705	643.56899	504.68031	0.00245257	0.01890225	-0.01852407	0.0005735	0.00034947	0.00022403	0.2380401	0.00013652	0.50983332	165.74	155.8	0.0
P0013	3145.02507	1.6548	-47.63893	35.91319	904.35986	605.19459	0.00559816	0.02289246	-0.02024522	0.00049388	0.00019586	0.00029802	0.23930153	0.00011819	0.59405594	183.42	239.3	0.0
P0017	3337.82279	1.5827	-50.65502	33.14956	917.96963	641.61986	0.00527802	0.02245925	-0.01930327	0.00047331	0.00014711	0.00032621	0.21420334	0.00010139	0.57581666	188.8	247.93	1.0
P0018	3123.09248	1.573	-52.47377	30.80254	940.17097	523.20742	0.00526885	0.01852288	-0.0185478	0.00048977	9.921e-05	0.00039056	0.16153486	7.912e-05	0.50427563	205.15	204.64	0.0
P0019	2851.94714	1.6989	-56.10542	64.22223	714.77592	640.12191	-0.00283702	0.01689585	-0.02487124	0.000746	0.00026805	0.00047794	0.23020957	0.00017174	0.5622913	203.0	176.41	0.0
P0020	2824.07654	1.9612	-59.52282	69.59134	691.13168	738.08569	0.00091602	0.02189779	-0.01873098	0.00093847	0.00041677	0.00052171	0.24687392	0.00023168	0.55136701	231.05	169.17	0.0
P0021	2700.98431	1.8266	-57.96031	74.2423	816.16271	500.21564	0.00660959	0.03101954	-0.0332182	0.00138444	0.00066513	0.00071931	0.24961701	0.00034558	0.86681915	138.01	230.62	1.0
P0022	3656.06273	1.6321	-46.75366	57.40585	1010.15297	725.59648	0.00449555	0.02507678	-0.024157	0.00068056	0.00038562	0.00029494	0.2455618	0.00016712	0.67191129	180.61	305.45	1.0
P0023	2956.84283	1.646	-81.80177	47.03474	845.39881	651.67737	0.00136455	0.0276325	-0.03271197	0.00147783	0.00031929	0.00115855	0.1693724	0.0002503	0.81208553	152.3	266.92	0.0
P0025	2581.44339	1.7421	-67.64602	30.62228	694.55817	558.2854	0.00062443	0.01888634	-0.02209506	0.00065453	0.00017089	0.00048364	0.19292447	0.00012628	0.55283171	181.77	169.06	1.0
P0026	2894.2406	1.8442	-63.78839	96.11018	782.23035	583.58916	0.00554916	0.03527873	-0.0342997	0.00125221	0.00073275	0.00051946	0.24274722	0.00030397	0.94859998	98.38	284.09	1.0
P0027	1628.34026	2.0245	-75.68026	104.40305	425.81922	455.78247	0.00413087	0.04349746	-0.03264775	0.00232902	0.00145233	0.00087669	0.23472829	0.00054669	1.03099109	79.96	166.91	0.0
P0028	3143.3368	1.5842	-67.01944	53.79625	872.13829	725.82732	0.00126218	0.02534214	-0.02767178	0.00111904	0.00043622	0.00068282	0.2378588	0.00026617	0.71838893	200.2	247.28	0.0
P0030	2930.70167	1.6417	-43.30403	48.53175	821.77738	604.96863	0.00140212	0.01733165	-0.02023625	0.00033625	0.00012736	0.00020889	0.23530354	7.912e-05	0.50513199	192.46	207.07	0.0
P0031	2525.40247	1.7805	-45.93407	37.41171	681.53597	618.69718	0.00263003	0.02069333	-0.0172679	0.00047034	0.00021088	0.00025946	0.24733351	0.00011633	0.51874112	192.66	171.44	0.0
